task,task_normalized,pct,occ_group_code,title,task_id,task_type,n_responding,date,domain_source,soc_group_code,soc_title,n_occurrences,n_occurrences_soc,pct_occ_weighted,pct_occ_norm,area_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper
Compile bibliographies of specialized materials for outside reading assignments.,compile bibliography of specialized material for outside reading assignment,0.0080780706440306,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",6437.0,Core,104.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,34.0,1.0,0.006643528613784823,0.0002387399827398669,U.S.,12680.0,1.1,,87980,0.5,,,,,,44150,57290,75890,101420,158240,True,,0.18624653846153846,0.07449186153846155,0.46026052692307695,3.17,2.9246,3.4155,80.7,70.3506,88.0482
"Participate in student recruitment, registration, and placement activities.",participate in student recruitment registration and placement activity,0.0104233169600396,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",6432.0,Supplemental,104.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,34.0,1.0,0.008572294985528901,0.0003080515906320897,U.S.,12680.0,1.1,,87980,0.5,,,,,,44150,57290,75890,101420,158240,True,,0.28997576923076923,0.13533499999999998,0.6681228846153846,3.84,3.4557,4.2261,83.63,67.7271,92.5596
Collaborate with colleagues to address teaching and research issues.,collaborate with colleague to address teaching and research issue,0.012377688890047,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",6433.0,Core,104.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,33.0,1.0,0.010179600295315549,0.00037689645369001816,U.S.,12680.0,1.1,,87980,0.5,,,,,,44150,57290,75890,101420,158240,True,,0.38367346153846155,0.15195522307692308,0.8057722076923077,3.71,3.3506,4.0679,96.23,89.6648,98.6853
"Evaluate and grade students' class work, assignments, and papers.",evaluate and grade student class work assignment and paper,0.0912040234003465,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",6422.0,Core,104.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,21.0,1.0,0.07500758112337788,0.004364064200621272,U.S.,12680.0,1.1,,87980,0.5,,,,,,44150,57290,75890,101420,158240,True,,2.1611865384615383,0.7321096961538461,5.62577031923077,4.55,4.3162,4.7827,96.56,79.8775,99.4998
Advise students on academic and vocational curricula and on career issues.,Advise student on academic and vocational curricula and on career issue,0.0224101314640851,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",6431.0,Core,104.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,31.0,1.0,0.018430434218887105,0.0007264055250066362,U.S.,12680.0,1.1,,87980,0.5,,,,,,44150,57290,75890,101420,158240,True,,0.5612757692307693,0.28666853076923077,1.3666251769230766,4.17,3.8713,4.4784,89.79,75.0067,96.2624
Prepare reports on students and activities as required by administration.,prepare report on student and activity as require by administration,0.0040390353220153,25-2011,"Preschool Teachers, Except Special Education",6483.0,Core,153.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,10.0,2.0,0.0033217643068924117,0.0004058579706577737,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,0.4866496153846154,0.2469504192307692,1.1581394769230768,3.94,3.6104,4.2675,88.66,75.7981,95.1306
"Observe and evaluate children's performance, behavior, social development, and physical health.",observe and evaluate child performance behavior social development and physical health,0.0028664121640108,25-2011,"Preschool Teachers, Except Special Education",6470.0,Core,154.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,2.0,1.0,0.0023573811210203743,0.0014401411862049747,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,2.7171888461538463,1.543152319230769,4.596080457692308,4.42,4.1359,4.6949,93.92,75.0666,98.7551
Prepare materials and classrooms for class activities.,prepare material and classroom for class activity,0.0061236987140232,25-2011,"Preschool Teachers, Except Special Education",6474.0,Core,154.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.005036223303998176,0.0006837033914306586,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,1.9603415384615386,0.9848665423076923,4.36513545,4.41,4.1257,4.6965,99.72,97.9764,99.9611
"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",plan and conduct activity for a balanced program of instruction demonstration and work time that provide student with opportunity to observe question and investigate,0.0841682844523198,25-2011,"Preschool Teachers, Except Special Education",6484.0,Core,149.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,11.0,1.0,0.0692212820081459,0.007688687655276389,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,1.3767784615384615,0.6951919153846153,2.928961669230769,4.23,3.8806,4.57,94.13,84.3002,97.9553
"Identify children showing signs of emotional, developmental, or health-related problems and discuss them with supervisors, parents or guardians, and child development specialists.",identify child show sign of emotional developmental or health relate problem and discuss they with supervisor parent or guardian and child development specialist,0.0020846633920079,25-2011,"Preschool Teachers, Except Special Education",6471.0,Core,149.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,2.0,1.0,0.001714458997105764,0.0010473754081490954,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,0.7106026923076922,0.2886377230769231,1.9500229153846154,4.42,4.2048,4.6391,98.69,92.7689,99.7739
Meet with other professionals to discuss individual students' needs and progress.,meet with other professional to discuss individual student need and progress,0.0037784523980143,25-2011,"Preschool Teachers, Except Special Education",6491.0,Core,152.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.0031074569322541816,0.0004218595393933835,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,0.39720999999999995,0.23190398846153845,0.648269773076923,3.8,3.4948,4.102,96.73,86.5363,99.2695
"Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",confer with other staff member to plan and schedule lesson promote learning follow approve curricula,0.0019543719300074,25-2011,"Preschool Teachers, Except Special Education",6487.0,Core,154.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.0016073053097866484,0.0002182032100310608,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,0.572775,0.2976809153846154,1.2281363923076922,4.01,3.6881,4.3333,87.42,75.5704,93.9792
Adapt teaching methods and instructional materials to meet students' varying needs and interests.,adapt teaching method and instructional material to meet student vary need and interest,0.0962853904183658,25-2011,"Preschool Teachers, Except Special Education",6478.0,Core,153.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,6.0,1.0,0.07918657492882322,0.0161252172212956,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,3.3725500000000004,1.7699906307692308,5.841515484615385,4.57,4.3416,4.8009,97.62,84.3683,99.6799
Prepare and implement remedial programs for students requiring extra help.,prepare and implement remedial program for student require extra help,0.0028664121640108,25-2011,"Preschool Teachers, Except Special Education",6497.0,Supplemental,152.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,8.0,1.0,0.0023573811210203743,0.00036003529655124366,U.S.,445080.0,1.4,19.93,41450,0.7,13.61,15.03,17.85,22.38,28.88,28300,31250,37120,46550,60070,,,0.6494653846153846,0.2880081692307692,1.3688340884615386,4.08,3.7361,4.4323,77.46,61.81,87.9463
"Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",confer with other staff member to plan and schedule lesson promote learning follow approve curricula,0.0019543719300074,25-2012,"Kindergarten Teachers, Except Special Education",6523.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.0016073053097866484,0.0002182032100310608,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,1.1540788461538463,0.5805941346153847,2.5734896346153846,4.06,3.8244,4.2858,98.36,89.0745,99.7742
"Identify children showing signs of emotional, developmental, or health-related problems and discuss them with supervisors, parents or guardians, and child development specialists.",identify child show sign of emotional developmental or health relate problem and discuss they with supervisor parent or guardian and child development specialist,0.0020846633920079,25-2012,"Kindergarten Teachers, Except Special Education",6515.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,2.0,1.0,0.001714458997105764,0.0010473754081490954,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,2.242783461538462,1.1777870461538462,4.124944207692308,4.44,4.2622,4.6189,98.36,89.0745,99.7742
Meet with other professionals to discuss individual students' needs and progress.,meet with other professional to discuss individual student need and progress,0.0037784523980143,25-2012,"Kindergarten Teachers, Except Special Education",6521.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.0031074569322541816,0.0004218595393933835,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,1.037531153846154,0.5094434461538462,2.3162762423076924,4.22,4.0103,4.4304,100.0,,
"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",plan and conduct activity for a balanced program of instruction demonstration and work time that provide student with opportunity to observe question and investigate,0.0841682844523198,25-2012,"Kindergarten Teachers, Except Special Education",6505.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,11.0,1.0,0.0692212820081459,0.007688687655276389,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,4.048761538461538,2.761672823076923,5.688915592307692,4.31,4.093,4.5258,100.0,,
Prepare and implement remedial programs for students requiring extra help.,prepare and implement remedial program for student require extra help,0.0028664121640108,25-2012,"Kindergarten Teachers, Except Special Education",6509.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,8.0,1.0,0.0023573811210203743,0.00036003529655124366,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,2.403108846153846,1.4075320153846156,4.137743123076923,4.45,4.2752,4.6248,100.0,,
"Observe and evaluate children's performance, behavior, social development, and physical health.",observe and evaluate child performance behavior social development and physical health,0.0028664121640108,25-2012,"Kindergarten Teachers, Except Special Education",6500.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,2.0,1.0,0.0023573811210203743,0.0014401411862049747,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,6.289603076923076,4.645510146153846,8.110980792307693,4.46,4.2723,4.6551,100.0,,
"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.",prepare objective and outline for course of study follow curriculum guideline or requirement of state and school,0.0078174877200297,25-2012,"Kindergarten Teachers, Except Special Education",6512.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.006429221239146677,0.0008728128401242544,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,1.3009334615384613,0.6907193346153846,2.6581010192307692,4.15,3.9601,4.3353,98.42,93.5678,99.6249
"Organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, and storytelling.",organize and lead activity design to promote physical mental and social development such as game art and craft music and storytelling,0.0140714778960534,25-2012,"Kindergarten Teachers, Except Special Education",6511.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,2.0,1.0,0.011572598230463969,0.007069784005006431,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,3.7357307692307695,2.4215441115384615,5.504671765384616,4.28,4.1205,4.4436,100.0,,
"Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",use computer audio visual aid and other equipment and material to supplement presentation,0.012898854738049,25-2012,"Kindergarten Teachers, Except Special Education",6527.0,Core,50.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,11.0,1.0,0.01060821504459201,0.001178297334167743,U.S.,114410.0,1.4,,67020,0.7,,,,,,45750,50290,61430,77720,99360,True,,5.5057765384615385,4.033727876923077,7.219580642307692,4.24,4.0596,4.4174,98.36,89.0745,99.7742
"Organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, and storytelling.",organize and lead activity design to promote physical mental and social development such as game art and craft music and storytelling,0.0140714778960534,25-2021,"Elementary School Teachers, Except Special Education",6561.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,2.0,1.0,0.011572598230463969,0.007069784005006431,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,2.5627738461538465,1.3379715384615385,4.614405176923077,4.21,4.0085,4.4124,100.0,,
Prepare materials and classrooms for class activities.,prepare material and classroom for class activity,0.0061236987140232,25-2021,"Elementary School Teachers, Except Special Education",6537.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.005036223303998176,0.0006837033914306586,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,4.9077,2.5084400000000002,8.283771,4.6,4.3987,4.7972,100.0,,
"Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",use computer audio visual aid and other equipment and material to supplement presentation,0.012898854738049,25-2021,"Elementary School Teachers, Except Special Education",6556.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,11.0,1.0,0.01060821504459201,0.001178297334167743,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,7.850200000000001,6.3679655,9.783426500000001,4.46,4.173,4.7446,99.43,95.9848,99.9215
Adapt teaching methods and instructional materials to meet students' varying needs and interests.,adapt teaching method and instructional material to meet student vary need and interest,0.0962853904183658,25-2021,"Elementary School Teachers, Except Special Education",6538.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,6.0,1.0,0.07918657492882322,0.0161252172212956,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,5.727499615384616,3.303593203846154,8.728001015384615,4.67,4.5718,4.7583,100.0,,
"Guide and counsel students with adjustment or academic problems, or special academic interests.",guide and counsel student with adjustment or academic problem or special academic interest,0.0646245651522455,25-2021,"Elementary School Teachers, Except Special Education",6549.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,6.0,1.0,0.05314822891027918,0.010822879217540752,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,,,,,,,,,
"Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",confer with other staff member to plan and schedule lesson promote learning follow approve curricula,0.0019543719300074,25-2021,"Elementary School Teachers, Except Special Education",6554.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.0016073053097866484,0.0002182032100310608,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,1.1488184615384616,0.5046916653846154,3.9286079730769234,4.05,3.7958,4.3108,99.42,95.8952,99.9202
Organize and label materials and display students' work.,organize and label material and display student work,0.0057328243280217,25-2021,"Elementary School Teachers, Except Special Education",6564.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,3.0,1.0,0.00471476224204083,0.001920188248273333,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,1.1310353846153847,0.45273352307692305,3.141164934615385,3.56,3.2829,3.8342,97.48,86.9756,99.5568
"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",plan and conduct activity for a balanced program of instruction demonstration and work time that provide student with opportunity to observe question and investigate,0.0841682844523198,25-2021,"Elementary School Teachers, Except Special Education",6539.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,11.0,1.0,0.0692212820081459,0.007688687655276389,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,5.407929230769231,2.628015246153846,9.111100315384615,4.63,4.3655,4.9015,100.0,,
Prepare and implement remedial programs for students requiring extra help.,prepare and implement remedial program for student require extra help,0.0028664121640108,25-2021,"Elementary School Teachers, Except Special Education",6550.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,8.0,1.0,0.0023573811210203743,0.00036003529655124366,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,2.4067576923076923,0.9416984115384616,5.4512462884615385,4.35,4.1346,4.5648,91.12,82.6207,95.6777
"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.",prepare objective and outline for course of study follow curriculum guideline or requirement of state and school,0.0078174877200297,25-2021,"Elementary School Teachers, Except Special Education",6551.0,Core,120.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.006429221239146677,0.0008728128401242544,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,2.2042076923076923,1.147165676923077,4.177328773076923,4.15,3.9208,4.378,92.96,81.2221,97.5808
Prepare reports on students and activities as required by administration.,prepare report on student and activity as require by administration,0.0040390353220153,25-2021,"Elementary School Teachers, Except Special Education",6559.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,10.0,2.0,0.0033217643068924117,0.0004058579706577737,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,0.3287376923076923,0.13850828076923075,0.9855912807692307,3.69,3.4423,3.938,95.42,83.3738,98.8587
Meet with other professionals to discuss individual students' needs and progress.,meet with other professional to discuss individual student need and progress,0.0037784523980143,25-2021,"Elementary School Teachers, Except Special Education",6555.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.0031074569322541816,0.0004218595393933835,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,0.6252419230769231,0.31876151923076923,1.2992016846153847,4.36,4.1927,4.5288,100.0,,
"Observe and evaluate students' performance, behavior, social development, and physical health.",observe and evaluate student performance behavior social development and physical health,0.0109444828080415,25-2021,"Elementary School Teachers, Except Special Education",6536.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.00900090973480528,0.0012219379761739472,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,6.304920769230769,4.038091023076923,8.942204292307693,4.52,4.25,4.7916,100.0,,
"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.",establish clear objective for all lesson unit and project and communicate those objective to student,0.0029967036260113,25-2021,"Elementary School Teachers, Except Special Education",6541.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,8.0,1.0,0.002464534808339489,0.000376400537303574,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,5.0491,3.8027740000000003,6.5942905,4.36,4.1829,4.5305,100.0,,
"Prepare, administer, and grade tests and assignments to evaluate students' progress.",prepare administer and grade test and assignment to evaluate student progress,0.0300973277221143,25-2021,"Elementary School Teachers, Except Special Education",6544.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,7.0,1.0,0.024752501770714665,0.004320423558615052,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,1.1508080769230769,0.49839836538461535,3.568573980769231,4.3,3.9622,4.6367,100.0,,
Meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs.,meet with parent and guardian to discuss their child progress and to determine priority for their child and their resource need,0.0054722414040207,25-2021,"Elementary School Teachers, Except Special Education",6546.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,6.0,1.0,0.0045004548674025995,0.000916453482130452,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,0.2267696153846154,0.06709603461538462,1.032240426923077,4.49,4.2647,4.7094,100.0,,
"Instruct students individually and in groups, using various teaching methods such as lectures, discussions, and demonstrations.",instruct student individually and in group use various teaching method such as lecture discussion and demonstration,0.0104233169600396,25-2021,"Elementary School Teachers, Except Special Education",6540.0,Core,121.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,2.0,1.0,0.008572294985528901,0.005236877040745526,U.S.,1393310.0,0.8,,69790,0.6,,,,,,46440,50680,62340,79410,102010,True,,,,,,,,,,
"Prepare, administer, and grade tests and assignments to evaluate students' progress.",prepare administer and grade test and assignment to evaluate student progress,0.0300973277221143,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6576.0,Core,110.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,7.0,1.0,0.024752501770714665,0.004320423558615052,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,3.0239719230769233,1.3619390576923078,6.003637211538462,4.4,4.1647,4.63,93.92,80.8365,98.2651
"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.",prepare objective and outline for course of study follow curriculum guideline or requirement of state and school,0.0078174877200297,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6586.0,Core,109.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.006429221239146677,0.0008728128401242544,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,1.6323234615384616,0.5171695846153845,4.7055639653846155,3.58,3.3132,3.8454,89.84,76.303,96.0471
Organize and label materials and display students' work.,organize and label material and display student work,0.0057328243280217,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6600.0,Core,110.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,3.0,1.0,0.00471476224204083,0.001920188248273333,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,1.180088076923077,0.35671871923076925,4.758934530769231,3.19,2.8367,3.5515,93.48,77.4433,98.3561
Prepare materials and classrooms for class activities.,prepare material and classroom for class activity,0.0061236987140232,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6581.0,Core,110.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.005036223303998176,0.0006837033914306586,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,4.83805,2.712242,7.7656785,4.62,4.5379,4.7091,97.4,81.6827,99.6824
"Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",use computer audio visual aid and other equipment and material to supplement presentation,0.012898854738049,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6592.0,Core,109.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,11.0,1.0,0.01060821504459201,0.001178297334167743,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,2.6367173076923076,1.453314023076923,4.538464207692308,3.96,3.6337,4.2915,94.88,80.7649,98.7921
"Instruct through lectures, discussions, and demonstrations in one or more subjects, such as English, mathematics, or social studies.",instruct through lecture discussion and demonstration in one or more subject such as English mathematic or social study,0.1301611705384946,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6575.0,Core,109.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,4.0,1.0,0.10704653363179223,0.0326977510231549,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,5.9875,3.6550030000000002,8.795600499999999,4.53,4.3372,4.7212,93.46,79.9401,98.0865
Meet with other professionals to discuss individual students' needs and progress.,meet with other professional to discuss individual student need and progress,0.0037784523980143,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6589.0,Core,110.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.0031074569322541816,0.0004218595393933835,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,0.46207653846153846,0.20782199230769233,1.11409585,3.68,3.4276,3.9401,97.36,81.4158,99.6781
"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",plan and conduct activity for a balanced program of instruction demonstration and work time that provide student with opportunity to observe question and investigate,0.0841682844523198,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6578.0,Core,109.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,11.0,1.0,0.0692212820081459,0.007688687655276389,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,3.0493003846153846,1.7095012692307692,5.156936757692307,4.12,3.7835,4.4502,97.21,82.5093,99.6117
Prepare reports on students and activities as required by administration.,prepare report on student and activity as require by administration,0.0040390353220153,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6594.0,Core,111.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,10.0,2.0,0.0033217643068924117,0.0004058579706577737,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,0.4081796153846154,0.1477745,1.244993023076923,3.62,3.2346,4.003,92.75,80.8488,97.4873
"Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",confer with other staff member to plan and schedule lesson promote learning follow approve curricula,0.0019543719300074,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6595.0,Core,109.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.0016073053097866484,0.0002182032100310608,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,0.34531692307692313,0.16656060769230768,0.8574147423076923,3.39,3.2151,3.5739,91.76,77.5386,97.2945
"Guide and counsel students with adjustment or academic problems, or special academic interests.",guide and counsel student with adjustment or academic problem or special academic interest,0.0646245651522455,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6588.0,Core,109.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,6.0,1.0,0.05314822891027918,0.010822879217540752,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,0.9561396153846153,0.3177517576923077,3.275656569230769,3.8,3.5903,4.0075,87.18,74.6896,94.004
Adapt teaching methods and instructional materials to meet students' varying needs and interests.,adapt teaching method and instructional material to meet student vary need and interest,0.0962853904183658,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6574.0,Core,111.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,6.0,1.0,0.07918657492882322,0.0161252172212956,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,2.9477311538461537,1.2217186576923076,6.16060255,4.11,3.8225,4.4068,97.36,81.4158,99.6781
"Organize and supervise games and other recreational activities to promote physical, mental, and social development.",organize and supervise game and other recreational activity to promote physical mental and social development,0.0031269950880118,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6601.0,Core,109.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,4.0,1.0,0.002571688495658605,0.0007855315561118088,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,0.7091623076923077,0.2580457730769231,2.550012653846154,3.24,3.0277,3.4521,76.9,58.7143,88.6295
"Observe and evaluate students' performance, behavior, social development, and physical health.",observe and evaluate student performance behavior social development and physical health,0.0109444828080415,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6580.0,Core,109.0,06/2010,Incumbent,25,Educational Instruction and Library Occupations,9.0,1.0,0.00900090973480528,0.0012219379761739472,U.S.,620370.0,1.5,,70040,0.8,,,,,,47050,53540,62970,79380,100980,True,,7.5757,5.385375,9.864990500000001,4.55,4.3234,4.7717,100.0,,
