gwa_title,iwa_title,dwa_title,task
"Monitoring Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment operation to ensure proper functioning.,"Observe work and monitor gauges, dials, and other indicators to ensure that operators conform to production or processing standards."
"Communicating with Supervisors, Peers, or Subordinates",Coordinate with others to resolve problems.,Confer with others to resolve production problems or equipment malfunctions.,"Confer with management or subordinates to resolve worker problems, complaints, or grievances."
Training and Teaching Others,Train others to use equipment or products.,Instruct workers to use equipment or perform technical procedures.,"Interpret specifications, blueprints, job orders, and company policies and procedures for workers."
Documenting/Recording Information,Maintain operational records.,Record operational or production data.,"Maintain operations data, such as time, production, and cost records, and prepare management reports of production results."
Making Decisions and Solving Problems,Determine operational methods or procedures.,Determine metal or plastic production methods.,"Recommend or implement measures to motivate employees and to improve production methods, equipment performance, product quality, or efficiency."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,Advise others on ways to improve processes or products.,"Recommend or implement measures to motivate employees and to improve production methods, equipment performance, product quality, or efficiency."
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Plan production or operational procedures or sequences.,"Determine standards, budgets, production goals, and rates, based on company policies, equipment and labor availability, and workloads."
Monitoring and Controlling Resources,Purchase goods or services.,"Order materials, supplies, or equipment.","Requisition materials, supplies, equipment parts, or repair services."
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust equipment to ensure optimal performance.,Set up and adjust machines and equipment.
Handling and Moving Objects,Set up equipment.,Install equipment attachments or components.,Set up and adjust machines and equipment.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,"Calculate specific material, equipment, or labor requirements for production.","Calculate labor and equipment requirements and production specifications, using standard formulas."
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Plan production or operational procedures or sequences.,Plan and develop new products and production processes.
Handling and Moving Objects,Assemble products or work aids.,Assemble metal or plastic parts or products.,Assemble prefabricated parts to form subassemblies.
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.,"Position and align subassemblies in jigs or fixtures, using measuring instruments and following blueprint lines and index points."
Handling and Moving Objects,Assemble equipment or components.,Assemble electrical or electronic equipment.,"Align, fit, assemble, connect, or install system components, using jigs, fixtures, measuring instruments, hand tools, or power tools."
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.,"Align, fit, assemble, connect, or install system components, using jigs, fixtures, measuring instruments, hand tools, or power tools."
Handling and Moving Objects,Set up equipment.,Install mechanical components in production equipment.,"Align, fit, assemble, connect, or install system components, using jigs, fixtures, measuring instruments, hand tools, or power tools."
Handling and Moving Objects,Build structures.,Assemble metal structures.,"Join structural assemblies, such as wings, tails, or fuselage."
Handling and Moving Objects,Position materials or components for assembly.,Draw guide lines or markings on materials or workpieces using patterns or other references.,"Layout and mark reference points and locations for installation of parts or components, using jigs, templates, or measuring and marking instruments."
Handling and Moving Objects,Build structures.,Assemble metal structures.,"Attach brackets, hinges, or clips to secure or support components or subassemblies, using bolts, screws, rivets, chemical bonding, or welding."
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect installed components or assemblies.,"Inspect or test installed units, parts, systems, or assemblies for fit, alignment, performance, defects, or compliance with standards, using measuring instruments or test equipment."
Handling and Moving Objects,Build structures.,Assemble metal structures.,Fit and fasten sheet metal coverings to surface areas or other sections of aircraft prior to welding or riveting.
Performing General Physical Activities,"Clean workpieces, finished products, or other objects.",Clean workpieces or finished products.,"Clean, oil, or coat system components, as necessary, before assembly or attachment."
Repairing and Maintaining Mechanical Equipment,Maintain tools or equipment.,Apply lubricants or coolants to workpieces.,"Clean, oil, or coat system components, as necessary, before assembly or attachment."
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust vehicle components according to specifications.,"Set, align, adjust, or synchronize aircraft armament or rigging or control system components to established tolerances or requirements, using sighting devices and hand tools."
Handling and Moving Objects,Assemble products or work aids.,Assemble metal or plastic parts or products.,"Fabricate parts needed for assembly or installation, using shop machinery or equipment."
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate metal or plastic forming equipment.,"Fabricate parts needed for assembly or installation, using shop machinery or equipment."
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate metal or plastic forming equipment.,"Set up or operate machines or systems to crimp, cut, bend, form, swage, flare, bead, burr, or straighten tubing, according to specifications."
Controlling Machines and Processes,Operate cutting or grinding equipment.,Operate cutting equipment.,"Set up or operate machines or systems to crimp, cut, bend, form, swage, flare, bead, burr, or straighten tubing, according to specifications."
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Solder parts or workpieces.,"Weld tubing and fittings or solder cable ends, using tack welders, induction brazing chambers, or other equipment."
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Operate welding equipment.,"Weld tubing and fittings or solder cable ends, using tack welders, induction brazing chambers, or other equipment."
"Estimating the Quantifiable Characteristics of Products, Events, or Information","Measure physical characteristics of materials, products, or equipment.",Measure dimensions of completed products or workpieces to verify conformance to specifications.,"Verify dimensions of cable assemblies or positions of fittings, using measuring instruments."
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,"Mark products, workpieces, or equipment with identifying information.","Mark identifying information on tubing or cable assemblies, using etching devices, labels, rubber stamps, or other methods."
Handling and Moving Objects,Cut materials.,Cut industrial materials in preparation for fabrication or processing.,"Cut cables and tubing, using master templates, measuring instruments, and cable cutters or saws."
Handling and Moving Objects,Assemble products or work aids.,Assemble metal or plastic parts or products.,Assemble prototypes or integrated-technology demonstrators of new or emerging environmental technologies for aircraft.
Processing Information,Sort materials or products.,Sort recyclable materials.,"Capture or segregate waste material, such as aluminum swarf, machine cutting fluid, or solvents, for recycling or environmentally responsible disposal."
Performing General Physical Activities,"Clean workpieces, finished products, or other objects.",Clean workpieces or finished products.,"Clean aircraft structures, parts, or components, using aqueous, semi-aqueous, aliphatic hydrocarbon, or organic solvent cleaning products or techniques to reduce carbon or other harmful emissions."
Handling and Moving Objects,Assemble products or work aids.,Assemble metal or plastic parts or products.,"Assemble parts, fittings, or subassemblies on aircraft, using layout tools, hand tools, power tools, or fasteners, such as bolts, screws, rivets, or clamps."
Getting Information,Read documents or materials to inform work processes.,Review blueprints or other instructions to determine operational methods or sequences.,"Read blueprints, illustrations, or specifications to determine layouts, sequences of operations, or identities or relationships of parts."
Repairing and Maintaining Mechanical Equipment,Repair workpieces or products.,Repair parts or assemblies.,"Adjust, repair, rework, or replace parts or assemblies to ensure proper operation."
Repairing and Maintaining Mechanical Equipment,Repair tools or equipment.,Replace worn equipment components.,"Adjust, repair, rework, or replace parts or assemblies to ensure proper operation."
Handling and Moving Objects,Shape materials to create products.,Reshape metal workpieces to established specifications.,"Cut, trim, file, bend, or smooth parts to ensure proper fit and clearance."
Handling and Moving Objects,Cut materials.,Trim excess material from workpieces.,"Cut, trim, file, bend, or smooth parts to ensure proper fit and clearance."
Handling and Moving Objects,Cut materials.,Cut industrial materials in preparation for fabrication or processing.,"Cut, trim, file, bend, or smooth parts to ensure proper fit and clearance."
Handling and Moving Objects,Build structures.,Assemble metal structures.,Manually install structural assemblies or signal crane operators to position assemblies for joining.
"Communicating with Supervisors, Peers, or Subordinates",Signal others to coordinate work activities.,Signal others to coordinate work activities.,Manually install structural assemblies or signal crane operators to position assemblies for joining.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Connect supply lines to production equipment or tools.,"Place and connect control cables to electronically controlled units, using hand tools, ring locks, cotter keys, threaded connectors, turnbuckles, or related devices."
Handling and Moving Objects,Assemble equipment or components.,Assemble electromechanical or hydraulic systems.,"Install mechanical linkages and actuators, using tensiometers to verify tension of cables."
Handling and Moving Objects,Position workpieces or materials on equipment.,Mount attachments or tools onto production equipment.,"Install accessories in swaging machines, using hand tools."
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate metal or plastic forming equipment.,"Operate or tend wire-coiling machines to wind wire coils used in electrical components such as resistors and transformers, and in electrical equipment and instruments such as bobbins and generators."
Getting Information,Read documents or materials to inform work processes.,Read work orders or other instructions to determine product specifications or materials requirements.,Review work orders and specifications to determine materials needed and types of parts to be processed.
Handling and Moving Objects,Assemble equipment or components.,Assemble electrical or electronic equipment.,"Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers."
Handling and Moving Objects,Cut materials.,Cut industrial materials in preparation for fabrication or processing.,"Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers."
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select production input materials.,"Select and load materials such as workpieces, objects, and machine parts onto equipment used in coiling processes."
Performing General Physical Activities,"Load products, materials, or equipment for transportation or further processing.",Load materials into production equipment.,"Select and load materials such as workpieces, objects, and machine parts onto equipment used in coiling processes."
Documenting/Recording Information,Maintain operational records.,Record operational or production data.,Record production and operational data on specified forms.
Handling and Moving Objects,Cut materials.,Trim excess material from workpieces.,"Attach, alter, and trim materials such as wire, insulation, and coils, using hand tools."
Handling and Moving Objects,Remove workpieces from production equipment.,Remove products or workpieces from production equipment.,"Stop machines to remove completed components, using hand tools."
"Inspecting Equipment, Structures, or Materials",Test performance of equipment or systems.,Test electrical equipment or systems to ensure proper functioning.,"Examine and test wired electrical components such as motors, armatures, and stators, using measuring devices, and record test results."
Documenting/Recording Information,Maintain operational records.,Record operational or production data.,"Examine and test wired electrical components such as motors, armatures, and stators, using measuring devices, and record test results."
Handling and Moving Objects,Apply protective solutions or coatings.,Apply protective or decorative finishes to workpieces or products.,"Apply solutions or paints to wired electrical components, using hand tools, and bake components."
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate heating or drying equipment.,"Apply solutions or paints to wired electrical components, using hand tools, and bake components."
Handling and Moving Objects,Disassemble equipment.,Disassemble equipment for maintenance or repair.,"Disassemble and assemble motors, and repair and maintain electrical components and machinery parts, using hand tools."
Repairing and Maintaining Mechanical Equipment,Maintain tools or equipment.,Maintain production or processing equipment.,"Disassemble and assemble motors, and repair and maintain electrical components and machinery parts, using hand tools."
Repairing and Maintaining Mechanical Equipment,Repair tools or equipment.,Repair production equipment or tools.,"Disassemble and assemble motors, and repair and maintain electrical components and machinery parts, using hand tools."
Handling and Moving Objects,Assemble products or work aids.,Assemble metal or plastic parts or products.,"Line slots with sheet insulation, and insert coils into slots."
"Inspecting Equipment, Structures, or Materials",Test performance of equipment or systems.,Test electrical equipment or systems to ensure proper functioning.,"Inspect or test wiring installations, assemblies, or circuits for resistance factors or for operation, and record results."
Documenting/Recording Information,Maintain operational records.,Record operational or production data.,"Inspect or test wiring installations, assemblies, or circuits for resistance factors or for operation, and record results."
Handling and Moving Objects,Assemble equipment or components.,Assemble electrical or electronic equipment.,"Assemble electrical or electronic systems or support structures and install components, units, subassemblies, wiring, or assembly casings, using rivets, bolts, soldering or micro-welding equipment."
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Solder parts or workpieces.,"Assemble electrical or electronic systems or support structures and install components, units, subassemblies, wiring, or assembly casings, using rivets, bolts, soldering or micro-welding equipment."
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Operate welding equipment.,"Assemble electrical or electronic systems or support structures and install components, units, subassemblies, wiring, or assembly casings, using rivets, bolts, soldering or micro-welding equipment."
Handling and Moving Objects,Assemble equipment or components.,Assemble electrical or electronic equipment.,"Adjust, repair, or replace electrical or electronic components to correct defects and to ensure conformance to specifications."
Repairing and Maintaining Mechanical Equipment,Repair workpieces or products.,Repair parts or assemblies.,"Adjust, repair, or replace electrical or electronic components to correct defects and to ensure conformance to specifications."
Performing General Physical Activities,"Clean workpieces, finished products, or other objects.",Clean workpieces or finished products.,"Clean parts, using cleaning solutions, air hoses, and cloths."
Getting Information,Read documents or materials to inform work processes.,Read work orders or other instructions to determine product specifications or materials requirements.,"Read and interpret schematic drawings, diagrams, blueprints, specifications, work orders, or reports to determine materials requirements or assembly instructions."
Getting Information,Read documents or materials to inform work processes.,Review blueprints or other instructions to determine operational methods or sequences.,"Read and interpret schematic drawings, diagrams, blueprints, specifications, work orders, or reports to determine materials requirements or assembly instructions."
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,"Mark products, workpieces, or equipment with identifying information.",Mark and tag components so that stock inventory can be tracked and identified.
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.,"Position, align, or adjust workpieces or electrical parts to facilitate wiring or assembly."
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move products, materials, or equipment between work areas.","Pack finished assemblies for shipment, and transport them to storage areas, using hoists or handtrucks."
Handling and Moving Objects,Package objects.,Package products for storage or shipment.,"Pack finished assemblies for shipment, and transport them to storage areas, using hoists or handtrucks."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Exchange information with colleagues.,Confer with supervisors or engineers to plan or review work activities or to resolve production problems.
"Communicating with Supervisors, Peers, or Subordinates",Coordinate with others to resolve problems.,Confer with others to resolve production problems or equipment malfunctions.,Confer with supervisors or engineers to plan or review work activities or to resolve production problems.
Training and Teaching Others,Train others to use equipment or products.,Instruct workers to use equipment or perform technical procedures.,Explain assembly procedures or techniques to other workers.
"Inspecting Equipment, Structures, or Materials",Test performance of equipment or systems.,Test electrical equipment or systems to ensure proper functioning.,Measure and adjust voltages to specified values to determine operational accuracy of instruments.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust flow of electricity to tools or production equipment.,Measure and adjust voltages to specified values to determine operational accuracy of instruments.
Handling and Moving Objects,Assemble equipment or components.,Assemble electrical or electronic equipment.,"Fabricate or form parts, coils, or structures according to specifications, using drills, calipers, cutters, or saws."
Handling and Moving Objects,Drill holes in earth or materials.,"Drill holes in parts, equipment, or materials.","Drill or tap holes in specified equipment locations to mount control units or to provide openings for elements, wiring, or instruments."
Documenting/Recording Information,Maintain operational records.,Record operational or production data.,"Complete, review, or maintain production, time, or component waste reports."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,"Advise others on issues related to repairs, installation, or equipment design.","Instruct customers in the installation, repair, or maintenance of products."
Monitoring and Controlling Resources,"Distribute materials, supplies, or resources.",Distribute supplies to workers.,"Distribute materials, supplies, or subassemblies to work areas."
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect installed components or assemblies.,"Inspect, test, and adjust completed units to ensure that units meet specifications, tolerances, and customer order requirements."
Handling and Moving Objects,Assemble equipment or components.,Assemble electrical or electronic equipment.,"Assemble parts or units, and position, align, and fasten units to assemblies, subassemblies, or frames, using hand tools and power tools."
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.,"Assemble parts or units, and position, align, and fasten units to assemblies, subassemblies, or frames, using hand tools and power tools."
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.,"Position, align, and adjust parts for proper fit and assembly."
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Connect supply lines to production equipment or tools.,"Connect cables, tubes, and wiring, according to specifications."
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,"Mark products, workpieces, or equipment with identifying information.",Attach name plates and mark identifying information on parts.
Getting Information,Read documents or materials to inform work processes.,Review blueprints or other instructions to determine operational methods or sequences.,Read blueprints and specifications to determine component parts and assembly sequences of electromechanical units.
Handling and Moving Objects,Disassemble equipment.,Disassemble equipment for maintenance or repair.,Disassemble units to replace parts or to crate them for shipping.
"Estimating the Quantifiable Characteristics of Products, Events, or Information","Measure physical characteristics of materials, products, or equipment.",Measure dimensions of completed products or workpieces to verify conformance to specifications.,"Measure parts to determine tolerances, using precision measuring instruments such as micrometers, calipers, and verniers."
Performing General Physical Activities,"Clean workpieces, finished products, or other objects.",Clean workpieces or finished products.,"Clean and lubricate parts and subassemblies, using grease paddles or oilcans."
Repairing and Maintaining Mechanical Equipment,Maintain tools or equipment.,Apply lubricants or coolants to workpieces.,"Clean and lubricate parts and subassemblies, using grease paddles or oilcans."
Handling and Moving Objects,Drill holes in earth or materials.,"Drill holes in parts, equipment, or materials.","Drill, tap, ream, countersink, and spot-face bolt holes in parts, using drill presses and portable power drills."
Handling and Moving Objects,Shape materials to create products.,Reshape metal workpieces to established specifications.,"File, lap, and buff parts to fit, using hand and power tools."
Handling and Moving Objects,Assemble equipment or components.,Assemble electromechanical or hydraulic systems.,Pack or fold insulation between panels.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate industrial equipment.,"Operate or tend automated assembling equipment, such as robotics and fixed automation equipment."
Controlling Machines and Processes,Operate lifting or moving equipment.,"Operate cranes, hoists, or other moving or lifting equipment.",Operate small cranes to transport or position large parts.
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect installed components or assemblies.,"Inspect, operate, and test completed products to verify functioning, machine capabilities, or conformance to customer specifications."
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.,"Position or align components for assembly, manually or using hoists."
Handling and Moving Objects,Set up equipment.,"Set equipment guides, stops, spacers, or other fixtures.",Set and verify parts clearances.
Repairing and Maintaining Mechanical Equipment,Repair workpieces or products.,Repair parts or assemblies.,"Rework, repair, or replace damaged parts or assemblies."
Repairing and Maintaining Mechanical Equipment,Repair tools or equipment.,Replace worn equipment components.,"Rework, repair, or replace damaged parts or assemblies."
Getting Information,Read documents or materials to inform work processes.,Review blueprints or other instructions to determine operational methods or sequences.,"Read and interpret assembly blueprints or specifications manuals, and plan assembly or building operations."
"Organizing, Planning, and Prioritizing Work",Plan work activities.,Plan production or operational procedures or sequences.,"Read and interpret assembly blueprints or specifications manuals, and plan assembly or building operations."
Repairing and Maintaining Mechanical Equipment,Maintain tools or equipment.,Apply lubricants or coolants to workpieces.,Maintain and lubricate parts or components.
Handling and Moving Objects,Assemble equipment or components.,Assemble electromechanical or hydraulic systems.,Assemble systems of gears by aligning and meshing gears in gearboxes.
"Estimating the Quantifiable Characteristics of Products, Events, or Information","Measure physical characteristics of materials, products, or equipment.",Measure dimensions of completed products or workpieces to verify conformance to specifications.,"Verify conformance of parts to stock lists or blueprints, using measuring instruments such as calipers, gauges, or micrometers."
Handling and Moving Objects,Assemble equipment or components.,Assemble electromechanical or hydraulic systems.,"Fasten or install piping, fixtures, or wiring and electrical components to form assemblies or subassemblies, using hand tools, rivet guns, or welding equipment."
Handling and Moving Objects,Smooth surfaces of objects or equipment.,Smooth metal surfaces or edges.,"Remove rough spots and smooth surfaces to fit, trim, or clean parts, using hand tools or power tools."
Handling and Moving Objects,Cut materials.,Cut industrial materials in preparation for fabrication or processing.,"Lay out and drill, ream, tap, or cut parts for assembly."
Handling and Moving Objects,Drill holes in earth or materials.,"Drill holes in parts, equipment, or materials.","Lay out and drill, ream, tap, or cut parts for assembly."
Handling and Moving Objects,Position materials or components for assembly.,Lay out parts to prepare for assembly.,"Lay out and drill, ream, tap, or cut parts for assembly."
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate metal or plastic forming equipment.,"Set up and operate metalworking machines, such as milling or grinding machines, to shape or fabricate parts."
Controlling Machines and Processes,Operate cutting or grinding equipment.,Operate grinding equipment.,"Set up and operate metalworking machines, such as milling or grinding machines, to shape or fabricate parts."
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Operate welding equipment.,"Position, align, fit, and weld parts to form complete units or subunits, following blueprints and layout specifications, and using jigs, welding torches, and hand tools."
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.,"Position, align, fit, and weld parts to form complete units or subunits, following blueprints and layout specifications, and using jigs, welding torches, and hand tools."
"Estimating the Quantifiable Characteristics of Products, Events, or Information","Measure physical characteristics of materials, products, or equipment.",Measure dimensions of completed products or workpieces to verify conformance to specifications.,"Verify conformance of workpieces to specifications, using squares, rulers, and measuring tapes."
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Operate welding equipment.,Tack-weld fitted parts together.
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,"Inspect metal, plastic, or composite products.",Lay out and examine metal stock or workpieces to be processed to ensure that specifications are met.
Handling and Moving Objects,Position materials or components for assembly.,Lay out parts to prepare for assembly.,Lay out and examine metal stock or workpieces to be processed to ensure that specifications are met.
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.,"Align and fit parts according to specifications, using jacks, turnbuckles, wedges, drift pins, pry bars, and hammers."
Handling and Moving Objects,Position materials or components for assembly.,Draw guide lines or markings on materials or workpieces using patterns or other references.,"Locate and mark workpiece bending and cutting lines, allowing for stock thickness, machine and welding shrinkage, and other component specifications."
Handling and Moving Objects,Position workpieces or materials on equipment.,Mount materials or workpieces onto production equipment.,"Position or tighten braces, jacks, clamps, ropes, or bolt straps, or bolt parts in position for welding or riveting."
Getting Information,Read documents or materials to inform work processes.,Read work orders or other instructions to determine product specifications or materials requirements.,Study engineering drawings and blueprints to determine materials requirements and task sequences.
Getting Information,Read documents or materials to inform work processes.,Review blueprints or other instructions to determine operational methods or sequences.,Study engineering drawings and blueprints to determine materials requirements and task sequences.
Controlling Machines and Processes,Operate lifting or moving equipment.,Lift materials or workpieces using cranes or other lifting equipment.,"Move parts into position, manually or with hoists or cranes."
Controlling Machines and Processes,Operate cutting or grinding equipment.,Operate grinding equipment.,"Set up and operate fabricating machines, such as brakes, rolls, shears, flame cutters, grinders, and drill presses, to bend, cut, form, punch, drill, or otherwise form and assemble metal components."
Controlling Machines and Processes,Operate cutting or grinding equipment.,Operate cutting equipment.,"Set up and operate fabricating machines, such as brakes, rolls, shears, flame cutters, grinders, and drill presses, to bend, cut, form, punch, drill, or otherwise form and assemble metal components."
Handling and Moving Objects,Shape materials to create products.,Shape metal workpieces with hammers or other small hand tools.,"Hammer, chip, and grind workpieces to cut, bend, and straighten metal."
Controlling Machines and Processes,Operate cutting or grinding equipment.,Operate grinding equipment.,"Hammer, chip, and grind workpieces to cut, bend, and straighten metal."
Handling and Moving Objects,Smooth surfaces of objects or equipment.,Smooth metal surfaces or edges.,"Smooth workpiece edges and fix taps, tubes, and valves."
Thinking Creatively,Design materials or devices.,Design templates or patterns.,"Design and construct templates and fixtures, using hand tools."
Handling and Moving Objects,Assemble products or work aids.,"Construct patterns, templates, or other work aids.","Design and construct templates and fixtures, using hand tools."
Handling and Moving Objects,Shape materials to create products.,Reshape metal workpieces to established specifications.,"Straighten warped or bent parts, using sledges, hand torches, straightening presses, or bulldozers."
Handling and Moving Objects,Position materials or components for assembly.,Draw guide lines or markings on materials or workpieces using patterns or other references.,"Mark reference points onto floors or face blocks and transpose them to workpieces, using measuring devices, squares, chalk, and soapstone."
Handling and Moving Objects,Position workpieces or materials on equipment.,Mount attachments or tools onto production equipment.,"Set up face blocks, jigs, and fixtures."
Handling and Moving Objects,Smooth surfaces of objects or equipment.,Smooth metal surfaces or edges.,"Remove high spots and cut bevels, using hand files, portable grinders, and cutting torches."
Controlling Machines and Processes,Operate cutting or grinding equipment.,Operate grinding equipment.,"Remove high spots and cut bevels, using hand files, portable grinders, and cutting torches."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.",Direct operational or production activities.,Direct welders to build up low spots or short pieces with weld.
Controlling Machines and Processes,Operate lifting or moving equipment.,Lift materials or workpieces using cranes or other lifting equipment.,"Lift or move materials and finished products, using large cranes."
Handling and Moving Objects,Prepare industrial materials for processing or use.,Heat material or workpieces to prepare for or complete production.,"Heat-treat parts, using acetylene torches."
Handling and Moving Objects,Prepare industrial materials for processing or use.,Heat material or workpieces to prepare for or complete production.,"Preheat workpieces to make them malleable, using hand torches or furnaces."
Handling and Moving Objects,Assemble equipment or components.,Assemble electromechanical or hydraulic systems.,"Install boilers, containers, and other structures."
Handling and Moving Objects,Build structures.,Assemble temporary equipment or structures.,Erect ladders and scaffolding to fit together large assemblies.
Handling and Moving Objects,Smooth surfaces of objects or equipment.,Smooth surfaces of objects or equipment.,"Release air bubbles and smooth seams, using rollers."
Performing General Physical Activities,"Load products, materials, or equipment for transportation or further processing.",Place materials into molds.,"Spray chopped fiberglass, resins, and catalysts onto prepared molds or dies using pneumatic spray guns with chopper attachments."
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,Select production input materials.,"Select precut fiberglass mats, cloth, and wood-bracing materials as required by projects being assembled."
Performing General Physical Activities,"Load products, materials, or equipment for transportation or further processing.",Place materials into molds.,"Pat or press layers of saturated mat or cloth into place on molds, using brushes or hands, and smooth out wrinkles and air bubbles with hands or squeegees."
Performing General Physical Activities,Prepare mixtures or solutions.,Mix substances to create chemical solutions.,"Mix catalysts into resins, and saturate cloth and mats with mixtures, using brushes."
Performing General Physical Activities,"Clean workpieces, finished products, or other objects.",Apply water or solutions to fabrics or apparel.,"Mix catalysts into resins, and saturate cloth and mats with mixtures, using brushes."
Performing General Physical Activities,Perform general construction or extraction activities.,Apply adhesives to construction materials.,"Bond wood reinforcing strips to decks and cabin structures of watercraft, using resin-saturated fiberglass."
"Estimating the Quantifiable Characteristics of Products, Events, or Information","Measure physical characteristics of materials, products, or equipment.",Measure dimensions of completed products or workpieces to verify conformance to specifications.,"Check completed products for conformance to specifications and for defects by measuring with rulers or micrometers, by checking them visually, or by tapping them to detect bubbles or dead spots."
Handling and Moving Objects,Cut materials.,Trim excess material from workpieces.,"Trim excess materials from molds, using hand shears or trimming knives."
Repairing and Maintaining Mechanical Equipment,Repair workpieces or products.,Repair parts or assemblies.,"Repair or modify damaged or defective glass-fiber parts, checking thicknesses, densities, and contours to ensure a close fit after repair."
Performing General Physical Activities,"Load products, materials, or equipment for transportation or further processing.",Load items into ovens or furnaces.,"Cure materials by letting them set at room temperature, placing them under heat lamps, or baking them in ovens."
Handling and Moving Objects,Remove workpieces from production equipment.,Apply parting agents or other solutions to molds.,"Apply layers of plastic resin to mold surfaces prior to placement of fiberglass mats, repeating layers until products have the desired thicknesses and plastics have jelled."
Performing General Physical Activities,Perform general construction or extraction activities.,Apply adhesives to construction materials.,"Mask off mold areas not to be laminated, using cellophane, wax paper, masking tape, or special sprays containing mold-release substances."
Handling and Moving Objects,Remove workpieces from production equipment.,Apply parting agents or other solutions to molds.,Apply lacquers and waxes to mold surfaces to facilitate assembly and removal of laminated parts.
"Inspecting Equipment, Structures, or Materials","Inspect commercial, industrial, or production systems or equipment.",Inspect production equipment.,"Check all dies, templates, and cutout patterns to be used in the manufacturing process to ensure that they conform to dimensional data, photographs, blueprints, samples, or customer specifications."
"Inspecting Equipment, Structures, or Materials","Inspect commercial, industrial, or production systems or equipment.",Inspect production equipment.,"Inspect, clean, and assemble molds before beginning work."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean production equipment.,"Inspect, clean, and assemble molds before beginning work."
Handling and Moving Objects,Assemble products or work aids.,Build production molds.,"Inspect, clean, and assemble molds before beginning work."
Handling and Moving Objects,Cut materials.,Trim excess material from workpieces.,Trim cured materials by sawing them with diamond-impregnated cutoff wheels.
Handling and Moving Objects,Assemble products or work aids.,Assemble metal or plastic parts or products.,"Assemble and install components of timepieces to complete mechanisms, using watchmakers' tools and loupes."
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect timing devices.,"Observe operation of timepiece parts and subassemblies to determine accuracy of movement, and to diagnose causes of defects."
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect timing devices.,"Test operation and fit of timepiece parts and subassemblies, using electronic testing equipment, tweezers, watchmakers' tools, and loupes."
Repairing and Maintaining Mechanical Equipment,Repair workpieces or products.,Repair precision devices or workpieces.,"Replace specified parts to repair malfunctioning timepieces, using watchmakers' tools, loupes, and holding fixtures."
Handling and Moving Objects,Disassemble equipment.,Disassemble equipment for maintenance or repair.,"Disassemble timepieces such as watches, clocks, and chronometers so that repairs can be made."
