task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
Start machines or equipment to begin production processes.,start machines or equipment to begin production processes,51-9198,Helpers--Production Workers,2.662906153846154,3.87,70.25,51-9198.00,167490.0,1280.0,51,Production Occupations
"Separate products according to weight, grade, size, or composition of materials used to produce them.",separate products according to weight grade size or composition of materials used to produce them,51-9198,Helpers--Production Workers,3.2424100000000005,3.94,40.32,51-9198.00,167490.0,1280.0,51,Production Occupations
"Remove products, machine attachments, or waste material from machines.",remove products machine attachments or waste material from machines,51-9198,Helpers--Production Workers,3.4802150000000003,3.77,78.92,51-9198.00,167490.0,1280.0,51,Production Occupations
"Turn valves to regulate flow of liquids or air, to reverse machines, to start pumps, or to regulate equipment.",turn valves to regulate flow of liquids or air to reverse machines to start pumps or to regulate equipment,51-9198,Helpers--Production Workers,2.7142926923076924,3.91,55.36,51-9198.00,167490.0,1280.0,51,Production Occupations
"Help production workers by performing duties of lesser skill, such as supplying or holding materials or tools, or cleaning work areas and equipment.",help production workers by performing duties of lesser skill such as supplying or holding materials or tools or cleaning work areas and equipment,51-9198,Helpers--Production Workers,2.560318076923077,3.47,69.79,51-9198.00,167490.0,1280.0,51,Production Occupations
Accompany aircraft as a member of the flight crew to monitor and handle cargo in flight.,accompany aircraft as a member of the flight crew to monitor and handle cargo in flight,53-1041,Aircraft Cargo Handling Supervisors,3.647575,4.14,34.43,53-1041.00,10160.0,50.0,53,Transportation and Material Moving Occupations
Train new employees in areas such as safety procedures or equipment operation.,train new employees in areas such as safety procedures or equipment operation,53-1041,Aircraft Cargo Handling Supervisors,0.4471015384615384,4.51,89.8,53-1041.00,10160.0,50.0,53,Transportation and Material Moving Occupations
"Determine the quantity and orientation of cargo, and compute an aircraft's center of gravity.",determine the quantity and orientation of cargo and compute an aircrafts center of gravity,53-1041,Aircraft Cargo Handling Supervisors,2.731106538461538,4.63,73.3,53-1041.00,10160.0,50.0,53,Transportation and Material Moving Occupations
Distribute cargo to maximize use of space.,distribute cargo to maximize use of space,53-1041,Aircraft Cargo Handling Supervisors,2.900691923076923,4.35,85.79,53-1041.00,10160.0,50.0,53,Transportation and Material Moving Occupations
"Calculate load weights for different aircraft compartments, using charts and computers.",calculate load weights for different aircraft compartments using charts and computers,53-1041,Aircraft Cargo Handling Supervisors,4.146457692307692,4.82,66.34,53-1041.00,10160.0,50.0,53,Transportation and Material Moving Occupations
"Direct ground crews in the loading, unloading, securing, or staging of aircraft cargo or baggage.",direct ground crews in the loading unloading securing or staging of aircraft cargo or baggage,53-1041,Aircraft Cargo Handling Supervisors,3.719455384615385,4.54,83.01,53-1041.00,10160.0,50.0,53,Transportation and Material Moving Occupations
Make presentations to educate the public on how to recycle or on the environmental advantages of recycling.,make presentations to educate the public on how to recycle or on the environmental advantages of recycling,53-1042,Recycling Coordinators,0.5895492307692307,3.21,62.46,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Assign truck drivers or recycling technicians to routes.,assign truck drivers or recycling technicians to routes,53-1042,Recycling Coordinators,3.641712307692308,4.1,64.52,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Coordinate recycling collection schedules to optimize service and efficiency.,coordinate recycling collection schedules to optimize service and efficiency,53-1042,Recycling Coordinators,2.338501923076923,3.51,62.35,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Coordinate shipments of recycling materials with shipping brokers or processing companies.,coordinate shipments of recycling materials with shipping brokers or processing companies,53-1042,Recycling Coordinators,1.23114,3.77,49.65,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Create or manage recycling operations budgets.,create or manage recycling operations budgets,53-1042,Recycling Coordinators,0.9765669230769232,4.02,66.52,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Design community solid and hazardous waste management programs.,design community solid and hazardous waste management programs,53-1042,Recycling Coordinators,0.1345234615384615,3.09,35.57,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Develop community or corporate recycling plans and goals to minimize waste and conform to resource constraints.,develop community or corporate recycling plans and goals to minimize waste and conform to resource constraints,53-1042,Recycling Coordinators,1.0165457692307691,3.36,60.79,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Implement grant-funded projects, monitoring and reporting progress in accordance with sponsoring agency requirements.",implement grantfunded projects monitoring and reporting progress in accordance with sponsoring agency requirements,53-1042,Recycling Coordinators,0.3192153846153846,3.22,39.55,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Investigate violations of solid waste or recycling ordinances.,investigate violations of solid waste or recycling ordinances,53-1042,Recycling Coordinators,0.3337923076923077,3.25,46.32,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Negotiate contracts with waste management or other firms.,negotiate contracts with waste management or other firms,53-1042,Recycling Coordinators,0.1652530769230769,3.87,45.68,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Review customer requests for service to determine service needs and deploy appropriate resources to provide service.,review customer requests for service to determine service needs and deploy appropriate resources to provide service,53-1042,Recycling Coordinators,2.578826538461538,3.76,73.78,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Operate recycling processing equipment, such as sorters, balers, crushers, and granulators to sort and process materials.",operate recycling processing equipment such as sorters balers crushers and granulators to sort and process materials,53-1042,Recycling Coordinators,0.8023973076923077,3.77,40.12,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Oversee campaigns to promote recycling or waste reduction programs in communities or private companies.,oversee campaigns to promote recycling or waste reduction programs in communities or private companies,53-1042,Recycling Coordinators,0.9397619230769232,3.62,61.55,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Prepare grant applications to fund recycling programs or program enhancements.,prepare grant applications to fund recycling programs or program enhancements,53-1042,Recycling Coordinators,0.2374049999999999,3.31,36.38,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Schedule movement of recycling materials into and out of storage areas.,schedule movement of recycling materials into and out of storage areas,53-1042,Recycling Coordinators,1.8595646153846157,3.64,66.13,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Identify or investigate new opportunities for materials to be collected and recycled.,identify or investigate new opportunities for materials to be collected and recycled,53-1042,Recycling Coordinators,0.904111923076923,3.26,75.86,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Inspect physical condition of recycling or hazardous waste facility for compliance with safety, quality, and service standards.",inspect physical condition of recycling or hazardous waste facility for compliance with safety quality and service standards,53-1042,Recycling Coordinators,0.8298546153846155,3.93,65.65,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Maintain logs of recycling materials received or shipped to processing companies.,maintain logs of recycling materials received or shipped to processing companies,53-1042,Recycling Coordinators,2.465346153846154,4.03,71.71,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Prepare bills of lading, statements of shipping records, or customer receipts related to recycling or hazardous material services.",prepare bills of lading statements of shipping records or customer receipts related to recycling or hazardous material services,53-1042,Recycling Coordinators,2.2476642307692307,4.0,54.12,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Provide training to recycling technicians or community service workers on topics such as safety, solid waste processing, or general recycling operations.",provide training to recycling technicians or community service workers on topics such as safety solid waste processing or general recycling operations,53-1042,Recycling Coordinators,0.5824038461538461,3.62,80.23,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Supervise recycling technicians, community service workers, or other recycling operations employees or volunteers.",supervise recycling technicians community service workers or other recycling operations employees or volunteers,53-1042,Recycling Coordinators,3.3274842307692305,3.96,90.09,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Operate fork lifts, skid loaders, or trucks to move or store recyclable materials.",operate fork lifts skid loaders or trucks to move or store recyclable materials,53-1042,Recycling Coordinators,2.092706538461538,3.71,44.7,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Oversee recycling pick-up or drop-off programs to ensure compliance with community ordinances.,oversee recycling pickup or dropoff programs to ensure compliance with community ordinances,53-1042,Recycling Coordinators,1.671974230769231,4.17,67.89,53-1042.01,123136.0,1356.0,53,Transportation and Material Moving Occupations
Quote prices to customers.,quote prices to customers,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.678042692307692,3.82,41.84,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Inventory supplies and requisition or purchase additional items, as necessary.",inventory supplies and requisition or purchase additional items as necessary,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1.6566873076923077,3.99,65.11,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Plan work schedules and assign duties to maintain adequate staff for effective performance of activities and response to fluctuating workloads.,plan work schedules and assign duties to maintain adequate staff for effective performance of activities and response to fluctuating workloads,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.6194061538461537,4.01,82.41,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Collaborate with workers and managers to solve work-related problems.,collaborate with workers and managers to solve workrelated problems,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.423043846153846,4.42,100.0,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Review work throughout the work process and at completion to ensure that it has been performed properly.,review work throughout the work process and at completion to ensure that it has been performed properly,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.09385,4.39,99.15,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Transmit and explain work orders to laborers.,transmit and explain work orders to laborers,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",4.683517692307692,4.02,85.46,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Check specifications of materials loaded or unloaded against information contained in work orders.,check specifications of materials loaded or unloaded against information contained in work orders,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.8347715384615384,3.87,68.61,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Inform designated employees or departments of items loaded or problems encountered.,inform designated employees or departments of items loaded or problems encountered,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1.5745746153846152,4.12,86.74,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Examine freight to determine loading sequences.,examine freight to determine loading sequences,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.071903461538461,4.38,55.62,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Maintain a safe working environment by monitoring safety procedures and equipment.,maintain a safe working environment by monitoring safety procedures and equipment,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",5.111595384615384,4.47,89.92,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Perform the same work duties as those supervised, or perform more difficult or skilled tasks or assist in their performance.",perform the same work duties as those supervised or perform more difficult or skilled tasks or assist in their performance,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.5300246153846158,3.86,87.15,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Prepare and maintain work records and reports of information such as employee time and wages, daily receipts, or inspection results.",prepare and maintain work records and reports of information such as employee time and wages daily receipts or inspection results,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1.052341923076923,4.07,67.75,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Conduct staff meetings to relay general information or to address specific topics, such as safety.",conduct staff meetings to relay general information or to address specific topics such as safety,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.3641315384615385,3.9,91.88,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Evaluate employee performance and prepare performance appraisals.,evaluate employee performance and prepare performance appraisals,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.2578846153846154,3.68,87.98,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Inspect equipment for wear and for conformance to specifications.,inspect equipment for wear and for conformance to specifications,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.2327242307692305,4.11,78.34,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Counsel employees in work-related activities, personal growth, or career development.",counsel employees in workrelated activities personal growth or career development,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1.389035,3.91,93.19,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Inspect job sites to determine the extent of maintenance or repairs needed.,inspect job sites to determine the extent of maintenance or repairs needed,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.9839088461538462,3.67,55.29,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Provide assistance in balancing books, tracking, monitoring, or projecting a unit's budget needs, and in developing unit policies and procedures.",provide assistance in balancing books tracking monitoring or projecting a units budget needs and in developing unit policies and procedures,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.7217596153846154,3.72,52.19,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Estimate material, time, and staffing requirements for a given project, based on work orders, job specifications, and experience.",estimate material time and staffing requirements for a given project based on work orders job specifications and experience,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.659749230769231,3.93,86.2,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Participate in the hiring process by reviewing credentials, conducting interviews, or making hiring decisions or recommendations.",participate in the hiring process by reviewing credentials conducting interviews or making hiring decisions or recommendations,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.22349,3.94,89.09,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Schedule times of shipment and modes of transportation for materials.,schedule times of shipment and modes of transportation for materials,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.606103461538461,4.02,56.56,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Assess training needs of staff and arrange for or provide appropriate instruction.,assess training needs of staff and arrange for or provide appropriate instruction,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1.2393792307692306,3.9,91.2,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Recommend or initiate personnel actions, such as promotions, transfers, or disciplinary measures.",recommend or initiate personnel actions such as promotions transfers or disciplinary measures,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.4534057692307692,3.83,90.3,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Resolve personnel problems, complaints, or formal grievances when possible, or refer them to higher-level supervisors for resolution.",resolve personnel problems complaints or formal grievances when possible or refer them to higherlevel supervisors for resolution,53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1.3867480769230769,3.84,96.58,53-1042.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Monitor field work to ensure proper performance and use of materials.,monitor field work to ensure proper performance and use of materials,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.785593846153846,3.81,78.42,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Drive vehicles or operate machines or equipment to complete work assignments or to assist workers.,drive vehicles or operate machines or equipment to complete work assignments or to assist workers,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.459152307692308,3.93,77.15,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Examine, measure, or weigh cargo or materials to determine specific handling requirements.",examine measure or weigh cargo or materials to determine specific handling requirements,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.025846923076923,3.99,83.96,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Perform or schedule repairs or preventive maintenance of vehicles or other equipment.,perform or schedule repairs or preventive maintenance of vehicles or other equipment,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.2531838461538465,3.86,64.88,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Dispatch personnel and vehicles in response to telephone or radio reports of emergencies.,dispatch personnel and vehicles in response to telephone or radio reports of emergencies,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.6677965384615385,3.81,68.11,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Compute or estimate cash, payroll, transportation, personnel, or storage requirements.",compute or estimate cash payroll transportation personnel or storage requirements,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.3791326923076923,3.77,56.28,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Inspect or test materials, stock, vehicles, equipment, or facilities to ensure that they are safe, free of defects, and consistent with specifications.",inspect or test materials stock vehicles equipment or facilities to ensure that they are safe free of defects and consistent with specifications,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.038268846153846,3.91,86.87,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Requisition needed personnel, supplies, equipment, parts, or repair services.",requisition needed personnel supplies equipment parts or repair services,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.8168896153846157,3.89,86.8,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Recommend or implement personnel actions, such as employee selection, evaluation, rewards, or disciplinary actions.",recommend or implement personnel actions such as employee selection evaluation rewards or disciplinary actions,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.4815942307692308,3.63,87.14,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Review orders, production schedules, blueprints, or shipping or receiving notices to determine work sequences and material shipping dates, types, volumes, or destinations.",review orders production schedules blueprints or shipping or receiving notices to determine work sequences and material shipping dates types volumes or destinations,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.4136907692307688,3.94,91.31,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Explain and demonstrate work tasks to new workers or assign training tasks to experienced workers.,explain and demonstrate work tasks to new workers or assign training tasks to experienced workers,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.164956153846154,3.96,88.78,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.",interpret transportation or tariff regulations shipping orders safety regulations or company policies and procedures for workers,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.5508676923076925,4.17,97.58,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Maintain or verify records of time, materials, expenditures, or crew activities.",maintain or verify records of time materials expenditures or crew activities,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.1281673076923078,3.9,88.4,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Recommend and implement measures to improve worker motivation, equipment performance, work methods, or customer services.",recommend and implement measures to improve worker motivation equipment performance work methods or customer services,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.2396984615384614,3.82,99.03,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Prepare, compile, and submit reports on work activities, operations, production, or work-related accidents.",prepare compile and submit reports on work activities operations production or workrelated accidents,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1.244173846153846,3.82,89.37,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Resolve worker problems or collaborate with employees to assist in problem resolution.,resolve worker problems or collaborate with employees to assist in problem resolution,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.4367884615384616,4.11,99.05,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Confer with customers, supervisors, contractors, or other personnel to exchange information or to resolve problems.",confer with customers supervisors contractors or other personnel to exchange information or to resolve problems,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.070801153846154,4.08,99.0,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Plan work assignments and equipment allocations to meet transportation, operations or production goals.",plan work assignments and equipment allocations to meet transportation operations or production goals,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.23844,4.07,94.47,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
Enforce safety rules and regulations.,enforce safety rules and regulations,53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.3806415384615387,4.51,100.0,53-1043.00,123136.0,1356.0,53,Transportation and Material Moving Occupations
"Brief crews about flight details, such as destinations, duties, and responsibilities.",brief crews about flight details such as destinations duties and responsibilities,53-2011,"Airline Pilots, Copilots, and Flight Engineers",2.6813176923076925,4.23,88.28,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Record in log books information, such as flight times, distances flown, and fuel consumption.",record in log books information such as flight times distances flown and fuel consumption,53-2011,"Airline Pilots, Copilots, and Flight Engineers",2.190875,3.72,71.44,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Make announcements regarding flights, using public address systems.",make announcements regarding flights using public address systems,53-2011,"Airline Pilots, Copilots, and Flight Engineers",2.8802426923076925,3.19,77.14,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
File instrument flight plans with air traffic control to ensure that flights are coordinated with other air traffic.,file instrument flight plans with air traffic control to ensure that flights are coordinated with other air traffic,53-2011,"Airline Pilots, Copilots, and Flight Engineers",1.048606923076923,4.09,36.83,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Plan and formulate flight activities and test schedules and prepare flight evaluation reports.,plan and formulate flight activities and test schedules and prepare flight evaluation reports,53-2011,"Airline Pilots, Copilots, and Flight Engineers",0.7734065384615385,3.08,34.37,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Instruct other pilots and student pilots in aircraft operations and the principles of flight.,instruct other pilots and student pilots in aircraft operations and the principles of flight,53-2011,"Airline Pilots, Copilots, and Flight Engineers",0.7524869230769231,3.72,71.86,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Conduct in-flight tests and evaluations at specified altitudes and in all types of weather to determine the receptivity and other characteristics of equipment and systems.,conduct inflight tests and evaluations at specified altitudes and in all types of weather to determine the receptivity and other characteristics of equipment and systems,53-2011,"Airline Pilots, Copilots, and Flight Engineers",0.7159457692307691,4.15,35.01,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Evaluate other pilots or pilot-license applicants for proficiency.,evaluate other pilots or pilotlicense applicants for proficiency,53-2011,"Airline Pilots, Copilots, and Flight Engineers",1.0888480769230768,3.82,36.41,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Direct activities of aircraft crews during flights.,direct activities of aircraft crews during flights,53-2011,"Airline Pilots, Copilots, and Flight Engineers",2.641090769230769,3.97,82.1,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Perform minor maintenance work, or arrange for major maintenance.",perform minor maintenance work or arrange for major maintenance,53-2011,"Airline Pilots, Copilots, and Flight Engineers",1.0138288461538465,4.02,30.2,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Order changes in fuel supplies, loads, routes, or schedules to ensure safety of flights.",order changes in fuel supplies loads routes or schedules to ensure safety of flights,53-2011,"Airline Pilots, Copilots, and Flight Engineers",0.9434646153846152,4.25,84.18,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Choose routes, altitudes, and speeds that will provide the fastest, safest, and smoothest flights.",choose routes altitudes and speeds that will provide the fastest safest and smoothest flights,53-2011,"Airline Pilots, Copilots, and Flight Engineers",3.7188911538461538,3.97,93.52,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Confer with flight dispatchers and weather forecasters to keep abreast of flight conditions.,confer with flight dispatchers and weather forecasters to keep abreast of flight conditions,53-2011,"Airline Pilots, Copilots, and Flight Engineers",2.265106153846154,4.41,97.5,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Coordinate flight activities with ground crews and air traffic control and inform crew members of flight and test procedures.,coordinate flight activities with ground crews and air traffic control and inform crew members of flight and test procedures,53-2011,"Airline Pilots, Copilots, and Flight Engineers",3.037031923076923,4.31,60.12,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Respond to and report in-flight emergencies and malfunctions.,respond to and report inflight emergencies and malfunctions,53-2011,"Airline Pilots, Copilots, and Flight Engineers",0.2697815384615384,4.86,100.0,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Work as part of a flight team with other crew members, especially during takeoffs and landings.",work as part of a flight team with other crew members especially during takeoffs and landings,53-2011,"Airline Pilots, Copilots, and Flight Engineers",4.974999230769231,4.88,97.94,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Contact control towers for takeoff clearances, arrival instructions, and other information, using radio equipment.",contact control towers for takeoff clearances arrival instructions and other information using radio equipment,53-2011,"Airline Pilots, Copilots, and Flight Engineers",6.587899230769232,4.81,100.0,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Steer aircraft along planned routes, using autopilot and flight management computers.",steer aircraft along planned routes using autopilot and flight management computers,53-2011,"Airline Pilots, Copilots, and Flight Engineers",8.49615,4.69,100.0,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Use instrumentation to guide flights when visibility is poor.,use instrumentation to guide flights when visibility is poor,53-2011,"Airline Pilots, Copilots, and Flight Engineers",5.682878846153846,4.91,100.0,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Start engines, operate controls, and pilot airplanes to transport passengers, mail, or freight, adhering to flight plans, regulations, and procedures.",start engines operate controls and pilot airplanes to transport passengers mail or freight adhering to flight plans regulations and procedures,53-2011,"Airline Pilots, Copilots, and Flight Engineers",6.129699230769231,4.89,100.0,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Inspect aircraft for defects and malfunctions, according to pre-flight checklists.",inspect aircraft for defects and malfunctions according to preflight checklists,53-2011,"Airline Pilots, Copilots, and Flight Engineers",2.84087,4.82,100.0,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Check passenger and cargo distributions and fuel amounts to ensure that weight and balance specifications are met.,check passenger and cargo distributions and fuel amounts to ensure that weight and balance specifications are met,53-2011,"Airline Pilots, Copilots, and Flight Engineers",2.886829230769231,4.6,95.09,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Monitor engine operation, fuel consumption, and functioning of aircraft systems during flights.",monitor engine operation fuel consumption and functioning of aircraft systems during flights,53-2011,"Airline Pilots, Copilots, and Flight Engineers",8.750299230769231,4.72,100.0,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
"Monitor gauges, warning devices, and control panels to verify aircraft performance and to regulate engine speed.",monitor gauges warning devices and control panels to verify aircraft performance and to regulate engine speed,53-2011,"Airline Pilots, Copilots, and Flight Engineers",8.868852307692308,4.7,100.0,53-2011.00,99300.0,1780.0,53,Transportation and Material Moving Occupations
Teach company regulations and procedures to other pilots.,teach company regulations and procedures to other pilots,53-2012,Commercial Pilots,0.2389196153846154,3.66,56.51,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
Instruct other pilots and student pilots in aircraft operations.,instruct other pilots and student pilots in aircraft operations,53-2012,Commercial Pilots,0.5708707692307692,4.09,50.62,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
File instrument flight plans with air traffic control so that flights can be coordinated with other air traffic.,file instrument flight plans with air traffic control so that flights can be coordinated with other air traffic,53-2012,Commercial Pilots,0.8013780769230768,3.95,69.58,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
